date,time,SENTIMENT
09-12-2022,10:25,2
09-12-2022,10:30,1
09-12-2022,10:35,4
09-12-2022,10:40,4
09-12-2022,10:45,2.8
09-12-2022,10:50,2
09-12-2022,10:55,2.25
09-12-2022,11:00,2.111111111
09-12-2022,11:05,4.333333333
09-12-2022,11:10,3.666666667
09-12-2022,11:15,1.857142857
09-12-2022,11:20,5
09-12-2022,11:25,3
09-12-2022,11:30,3
09-12-2022,11:35,1.2
09-12-2022,11:40,2.333333333
09-12-2022,11:45,5
09-12-2022,11:50,2
09-12-2022,11:55,2.5
09-12-2022,12:00,3.714285714
09-12-2022,12:05,2
09-12-2022,12:10,3
09-12-2022,12:15,5
09-12-2022,12:20,1.285714286
09-12-2022,12:25,3.833333333
09-12-2022,12:30,1.6
09-12-2022,12:35,2
09-12-2022,12:40,2.5
09-12-2022,12:45,3.333333333
09-12-2022,12:50,3.6
09-12-2022,12:55,2.142857143
09-12-2022,13:00,3.777777778
09-12-2022,13:05,3.875
09-12-2022,13:10,2.333333333
09-12-2022,13:15,2.142857143
09-12-2022,13:20,3.428571429
09-12-2022,13:25,2.6
09-12-2022,13:30,3.8
09-12-2022,13:35,2.333333333
09-12-2022,13:40,3.272727273
09-12-2022,13:45,3.75
09-12-2022,13:50,5
09-12-2022,13:55,3
09-12-2022,14:00,4
09-12-2022,14:05,2.333333333
09-12-2022,14:10,3.714285714
09-12-2022,14:15,4.142857143
09-12-2022,14:20,2.333333333
09-12-2022,14:25,3
09-12-2022,14:30,1
09-12-2022,14:35,3
09-12-2022,14:40,2.6
09-12-2022,14:45,2.666666667
09-12-2022,14:50,2.333333333
09-12-2022,14:55,3.032258065
09-12-2022,15:00,2.222222222
09-12-2022,15:05,3.4
09-12-2022,15:10,1
09-12-2022,15:15,3.75
09-12-2022,15:20,3
09-12-2022,15:25,3.222222222
09-12-2022,15:30,2.333333333
09-12-2022,15:35,3.5
09-12-2022,15:40,2.785714286
09-12-2022,15:45,2.4
09-12-2022,15:50,2.714285714
09-12-2022,15:55,3.5
10-12-2022,09:30,3.666666667
10-12-2022,09:35,1.25
10-12-2022,09:40,1.6
10-12-2022,09:45,1
10-12-2022,09:50,2.333333333
10-12-2022,09:55,3
10-12-2022,10:00,1
10-12-2022,10:05,2.25
10-12-2022,10:10,3
10-12-2022,10:15,1
10-12-2022,10:20,3
10-12-2022,10:30,1.8
10-12-2022,10:35,3
10-12-2022,10:40,1.5
10-12-2022,10:45,3.666666667
10-12-2022,10:50,2.75
10-12-2022,10:55,1
10-12-2022,11:00,1
10-12-2022,11:10,4.333333333
10-12-2022,11:15,3.4
10-12-2022,11:20,3.666666667
10-12-2022,11:25,4.666666667
10-12-2022,11:30,2.833333333
10-12-2022,11:35,3.4
10-12-2022,11:40,5
10-12-2022,11:45,1.666666667
10-12-2022,11:50,3.333333333
10-12-2022,11:55,2.714285714
10-12-2022,12:00,2.5
10-12-2022,12:05,4
10-12-2022,12:10,2.6
10-12-2022,12:15,3
10-12-2022,12:20,3.333333333
10-12-2022,12:30,2
10-12-2022,12:40,3.75
10-12-2022,12:45,3
10-12-2022,12:50,2.25
10-12-2022,13:00,3.125
10-12-2022,13:05,1
10-12-2022,13:10,2.333333333
10-12-2022,13:15,2
10-12-2022,13:20,2.666666667
10-12-2022,13:25,1.75
10-12-2022,13:30,3.333333333
10-12-2022,13:35,3.333333333
10-12-2022,13:40,2.5
10-12-2022,13:45,4
10-12-2022,13:50,3.25
10-12-2022,13:55,3.2
10-12-2022,14:00,2.555555556
10-12-2022,14:05,2
10-12-2022,14:10,1
10-12-2022,14:15,2.2
10-12-2022,14:20,1.75
10-12-2022,14:25,2.6
10-12-2022,14:30,3.666666667
10-12-2022,14:35,3.333333333
10-12-2022,14:40,2.333333333
10-12-2022,14:45,1
10-12-2022,14:50,4.5
10-12-2022,14:55,3
10-12-2022,15:00,2.6
10-12-2022,15:05,2.6
10-12-2022,15:10,5
10-12-2022,15:15,2.666666667
10-12-2022,15:20,3.4
10-12-2022,15:25,2.333333333
10-12-2022,15:30,3.1875
10-12-2022,15:35,1
10-12-2022,15:40,1.571428571
10-12-2022,15:45,2.571428571
10-12-2022,15:50,1.666666667
10-12-2022,15:55,4
11-12-2022,09:30,2.6
11-12-2022,09:35,2
11-12-2022,09:40,1
11-12-2022,09:45,4
11-12-2022,09:50,1
11-12-2022,09:55,2.222222222
11-12-2022,10:00,3.428571429
11-12-2022,10:05,1
11-12-2022,10:10,1
11-12-2022,10:15,3
11-12-2022,10:25,1
11-12-2022,10:30,2.333333333
11-12-2022,10:35,1
11-12-2022,10:40,5
11-12-2022,10:45,2.333333333
11-12-2022,10:50,3
11-12-2022,10:55,4.5
11-12-2022,11:00,2.5
11-12-2022,11:05,3.333333333
11-12-2022,11:10,5
11-12-2022,11:15,3
11-12-2022,11:20,4
11-12-2022,11:25,2.333333333
11-12-2022,11:30,2.6
11-12-2022,11:35,2
11-12-2022,11:45,1.8
